,#Agents,#Layers,init,P(true sol),Epochs,LR,TTE,Opt cost
0,3,1,"{γ_0: 0.99, β_0: 0.06}",0.001,200,0.1,9.16,-0.2050367614594051
1,3,1,"{γ_0: 0.99, β_0: 0.06}",0.01,200,0.1,9.16,-0.21189499165327344
2,3,1,"{γ_0: -1.41, β_0: 0.62}",0.011,200,1.0,9.18,-0.8140149775788391
3,3,1,"{γ_0: -1.41, β_0: 0.62}",0.021,200,1.0,9.14,-0.8146857737907122
4,3,1,"{γ_0: -0.93, β_0: 1.14}",0.003,400,0.1,18.27,-0.14760600072580324
5,3,1,"{γ_0: -0.93, β_0: 1.14}",0.001,400,0.1,18.36,-0.17183504573575725
6,3,1,"{γ_0: 0.33, β_0: 0.85}",0.007,400,1.0,18.86,-0.1802185112692103
7,3,1,"{γ_0: 0.33, β_0: 0.85}",0.004,400,1.0,18.62,-0.8140796881279856
8,3,1,"{γ_0: -1.23, β_0: 0.98}",0.024,600,0.1,27.52,-0.5634009098492637
9,3,1,"{γ_0: -1.23, β_0: 0.98}",0.002,600,0.1,27.65,-0.5762066762026357
10,3,1,"{γ_0: -1.56, β_0: -0.63}",0.003,600,1.0,27.81,-0.8146863344979677
11,3,1,"{γ_0: -1.56, β_0: -0.63}",0.251,600,1.0,28.18,-0.8386276616855851
12,3,2,"{γ_0: -1.43, β_0: 0.11, γ_1: 1.84, β_1: -0.94}",0.001,200,0.1,22.0,-0.44874437391163613
13,3,2,"{γ_0: -1.43, β_0: 0.11, γ_1: 1.84, β_1: -0.94}",0.001,200,0.1,22.19,-0.5152826816090023
14,3,2,"{γ_0: 0.32, β_0: -1.77, γ_1: -1.16, β_1: -0.82}",0.002,200,1.0,23.92,-0.32702277045078576
15,3,2,"{γ_0: 0.32, β_0: -1.77, γ_1: -1.16, β_1: -0.82}",0.015,200,1.0,23.19,-0.3271572397604201
16,3,2,"{γ_0: 0.54, β_0: 0.19, γ_1: -1.15, β_1: -1.63}",0.021,400,0.1,44.92,-0.2792912854185101
17,3,2,"{γ_0: 0.54, β_0: 0.19, γ_1: -1.15, β_1: -1.63}",0.017,400,0.1,44.65,-0.32890688186429856
18,3,2,"{γ_0: 1.78, β_0: -1.27, γ_1: 1.93, β_1: -0.58}",0.006,400,1.0,46.1,-0.7260823455600437
19,3,2,"{γ_0: 1.78, β_0: -1.27, γ_1: 1.93, β_1: -0.58}",0.005,400,1.0,45.38,-0.9529913224028778
20,3,2,"{γ_0: 1.07, β_0: 0.97, γ_1: -1.64, β_1: 0.36}",0.006,600,0.1,67.85,-0.28968962004102994
21,3,2,"{γ_0: 1.07, β_0: 0.97, γ_1: -1.64, β_1: 0.36}",0.011,600,0.1,71.87,-0.29749632068304255
22,3,2,"{γ_0: -1.84, β_0: 0.06, γ_1: 1.02, β_1: -0.48}",0.006,600,1.0,75.1,-0.8203336517240969
23,3,2,"{γ_0: -1.84, β_0: 0.06, γ_1: 1.02, β_1: -0.48}",0.015,600,1.0,75.58,-0.9551486135614623
24,3,3,"{γ_0: 0.39, β_0: -1.73, γ_1: -1.2, β_1: 1.9, γ_2: -1.88, β_2: 0.13}",0.002,200,0.1,45.73,-0.370338183171204
25,3,3,"{γ_0: 0.39, β_0: -1.73, γ_1: -1.2, β_1: 1.9, γ_2: -1.88, β_2: 0.13}",0.028,200,0.1,45.65,-0.4847895413480096
26,3,3,"{γ_0: -1.37, β_0: 1.95, γ_1: -1.03, β_1: 0.27, γ_2: -0.7, β_2: 1.3}",0.001,200,1.0,45.8,-0.8128814082699337
27,3,3,"{γ_0: -1.37, β_0: 1.95, γ_1: -1.03, β_1: 0.27, γ_2: -0.7, β_2: 1.3}",0.006,200,1.0,45.68,-0.8154108060674107
28,3,3,"{γ_0: 0.19, β_0: -0.41, γ_1: 1.13, β_1: -1.72, γ_2: -1.67, β_2: 1.19}",0.006,400,0.1,91.14,-0.5760318234620573
29,3,3,"{γ_0: 0.19, β_0: -0.41, γ_1: 1.13, β_1: -1.72, γ_2: -1.67, β_2: 1.19}",0.006,400,0.1,91.87,-0.602181246055204
30,3,3,"{γ_0: -1.61, β_0: -1.4, γ_1: 1.31, β_1: 1.54, γ_2: 0.31, β_2: 1.42}",0.003,400,1.0,91.77,-0.9212306659766116
31,3,3,"{γ_0: -1.61, β_0: -1.4, γ_1: 1.31, β_1: 1.54, γ_2: 0.31, β_2: 1.42}",0.013,400,1.0,90.83,-0.6809145779751062
32,3,3,"{γ_0: -1.39, β_0: -0.49, γ_1: -1.26, β_1: -1.07, γ_2: 1.32, β_2: -0.05}",0.022,600,0.1,133.16,-0.7523435486237446
33,3,3,"{γ_0: -1.39, β_0: -0.49, γ_1: -1.26, β_1: -1.07, γ_2: 1.32, β_2: -0.05}",0.003,600,0.1,127.8,-0.7961830222327847
34,3,3,"{γ_0: -0.64, β_0: 0.54, γ_1: -1.79, β_1: -1.15, γ_2: -1.95, β_2: -1.75}",0.001,600,1.0,134.6,-0.5967840626795453
35,3,3,"{γ_0: -0.64, β_0: 0.54, γ_1: -1.79, β_1: -1.15, γ_2: -1.95, β_2: -1.75}",0.003,600,1.0,135.36,-0.6189126053324
36,3,4,"{γ_0: -1.76, β_0: -0.69, γ_1: 0.96, β_1: 0.7, γ_2: -1.39, β_2: -0.24, γ_3: 0.13, β_3: -1.59}",0.001,200,0.1,71.55,-0.43853470491994484
37,3,4,"{γ_0: -1.76, β_0: -0.69, γ_1: 0.96, β_1: 0.7, γ_2: -1.39, β_2: -0.24, γ_3: 0.13, β_3: -1.59}",0.003,200,0.1,68.83,-0.47823098786523127
38,3,4,"{γ_0: -0.17, β_0: 1.32, γ_1: 0.65, β_1: -1.84, γ_2: -0.77, β_2: -0.61, γ_3: -0.61, β_3: -0.34}",0.006,200,1.0,71.28,-0.5461487345466669
39,3,4,"{γ_0: -0.17, β_0: 1.32, γ_1: 0.65, β_1: -1.84, γ_2: -0.77, β_2: -0.61, γ_3: -0.61, β_3: -0.34}",0.002,200,1.0,72.18,-0.6881238070999993
40,3,4,"{γ_0: -1.7, β_0: 0.67, γ_1: 0.96, β_1: -0.13, γ_2: 1.39, β_2: -1.0, γ_3: -0.35, β_3: -1.7}",0.01,400,0.1,141.21,-0.4809484139569252
