,#Agents,#Layers,init,P(true sol),Epochs,LR,TTE
0,3,1,"{γ_0: 0.41, β_0: 1.85}",0.013,100,0.1,5.35
1,3,1,"{γ_0: 0.41, β_0: 1.85}",0.01,100,0.1,5.28
2,3,1,"{γ_0: 1.03, β_0: -1.05}",0.01,100,1.0,5.61
3,3,1,"{γ_0: 1.03, β_0: -1.05}",0.006,100,1.0,5.3
4,3,1,"{γ_0: -0.05, β_0: -0.01}",0.02,200,0.1,11.03
5,3,1,"{γ_0: -0.05, β_0: -0.01}",0.003,200,0.1,10.82
6,3,1,"{γ_0: -0.36, β_0: -1.79}",0.001,200,1.0,11.19
7,3,1,"{γ_0: -0.36, β_0: -1.79}",0.01,200,1.0,10.67
8,3,1,"{γ_0: -0.85, β_0: -1.19}",0.008,400,0.1,21.09
9,3,1,"{γ_0: -0.85, β_0: -1.19}",0.002,400,0.1,21.65
10,3,1,"{γ_0: -0.98, β_0: 0.19}",0.015,400,1.0,21.06
11,3,1,"{γ_0: -0.98, β_0: 0.19}",0.013,400,1.0,21.43
12,3,2,"{γ_0: -1.23, β_0: -1.81, γ_1: 1.26, β_1: 0.3}",0.004,100,0.1,12.84
13,3,2,"{γ_0: -1.23, β_0: -1.81, γ_1: 1.26, β_1: 0.3}",0.009,100,0.1,12.43
14,3,2,"{γ_0: 1.9, β_0: 1.99, γ_1: 1.39, β_1: 0.43}",0.011,100,1.0,12.39
15,3,2,"{γ_0: 1.9, β_0: 1.99, γ_1: 1.39, β_1: 0.43}",0.001,100,1.0,12.19
16,3,2,"{γ_0: 0.21, β_0: -0.07, γ_1: -0.7, β_1: -1.31}",0.032,200,0.1,24.4
17,3,2,"{γ_0: 0.21, β_0: -0.07, γ_1: -0.7, β_1: -1.31}",0.008,200,0.1,25.01
18,3,2,"{γ_0: 0.38, β_0: 1.72, γ_1: -1.95, β_1: -1.51}",0.008,200,1.0,24.47
19,3,2,"{γ_0: 0.38, β_0: 1.72, γ_1: -1.95, β_1: -1.51}",0.005,200,1.0,24.23
20,3,2,"{γ_0: 1.77, β_0: -1.45, γ_1: 1.88, β_1: -0.4}",0.014,400,0.1,49.72
21,3,2,"{γ_0: 1.77, β_0: -1.45, γ_1: 1.88, β_1: -0.4}",0.009,400,0.1,49.06
22,3,2,"{γ_0: 1.57, β_0: -1.63, γ_1: 1.06, β_1: 0.07}",0.01,400,1.0,49.02
23,3,2,"{γ_0: 1.57, β_0: -1.63, γ_1: 1.06, β_1: 0.07}",0.032,400,1.0,48.98
24,3,3,"{γ_0: 0.59, β_0: -0.57, γ_1: -1.68, β_1: -0.44, γ_2: -0.17, β_2: -0.88}",0.008,100,0.1,22.38
25,3,3,"{γ_0: 0.59, β_0: -0.57, γ_1: -1.68, β_1: -0.44, γ_2: -0.17, β_2: -0.88}",0.001,100,0.1,21.88
26,3,3,"{γ_0: -1.2, β_0: 0.8, γ_1: 0.02, β_1: -1.33, γ_2: 0.2, β_2: 1.43}",0.012,100,1.0,21.99
27,3,3,"{γ_0: -1.2, β_0: 0.8, γ_1: 0.02, β_1: -1.33, γ_2: 0.2, β_2: 1.43}",0.014,100,1.0,22.1
28,3,3,"{γ_0: -1.13, β_0: 0.39, γ_1: 0.1, β_1: 1.83, γ_2: 0.45, β_2: 0.11}",0.013,200,0.1,44.66
29,3,3,"{γ_0: -1.13, β_0: 0.39, γ_1: 0.1, β_1: 1.83, γ_2: 0.45, β_2: 0.11}",0.003,200,0.1,45.64
30,3,3,"{γ_0: -0.84, β_0: -1.12, γ_1: -0.79, β_1: -0.88, γ_2: -1.93, β_2: -1.61}",0.004,200,1.0,44.81
31,3,3,"{γ_0: -0.84, β_0: -1.12, γ_1: -0.79, β_1: -0.88, γ_2: -1.93, β_2: -1.61}",0.007,200,1.0,43.71
32,3,3,"{γ_0: -1.26, β_0: 1.27, γ_1: -1.94, β_1: 0.09, γ_2: 0.55, β_2: -1.1}",0.006,400,0.1,90.0
33,3,3,"{γ_0: -1.26, β_0: 1.27, γ_1: -1.94, β_1: 0.09, γ_2: 0.55, β_2: -1.1}",0.003,400,0.1,95.21
34,3,3,"{γ_0: 0.83, β_0: 0.97, γ_1: 0.62, β_1: -0.29, γ_2: -1.28, β_2: -1.14}",0.014,400,1.0,88.66
35,3,3,"{γ_0: 0.83, β_0: 0.97, γ_1: 0.62, β_1: -0.29, γ_2: -1.28, β_2: -1.14}",0.002,400,1.0,89.5
